Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande
"A","Acessórios",2998886,"propn001","Physical Test 7.0 + Adipômetro Prime Neo (Brinde)",500,"<b><FONT color=#FF0000>Super Promoção.</b></font>
Na compra do software de Avaliação Física Physical Test 7.0, <b>você ganha</b> o Adipômetro Prime Neo.
<b>Poucas unidades!</b>","<b>NA COMPRA DO PHYSICAL TEST 7.0 - VOCÊ GANHA UM LINDO ADIPÔMETRO PRIME NEO</b>

A versão 7.0 possui mais de 50 Protocolos divididos em Composição Corporal, Cardiorrespiratório, Neuromotores, Testes Anaérobios, Análise Postural fotográfica, Análise Nutricional, Vídeos de Treinamento, Calculo do Peso Ósseo e Peso Muscular, Calculo da Zona Alvo através de Karvonen, Principais Resultados da Avaliação em apenas uma única folha, salva os relatórios em PDF HTML e Excel, envia relatório por e-mail e o mais inovador Montagem de Fichas para Prescrição de Atividades.


Características do Adipômetro Prime Neo (Brinde):

Campo de Medição: de 0 à 65 mm.
Precisão: Milímetros.
Tolerância: +/- 0,5 mm em 65 mm.
Matéria Prima: Alumínio.
Acabamento: Cromado.
Escala de Medição: Dupla, em ambos dos lados.

Fabricante: Primemed
Garantia: 12 meses.","",False,199,0,False,0,0,1548,1270,0,0,27/06/2011,31/12/2011,True,True,"ptadpzinza100.GIF","ptadpzinza200.GIF","ptadpzinza400.GIF","","","18469,18488,32407","","","","",255,,1328,"",,0,0,,"","",5,5,,True,False
"A","Acessórios",2518423,"CieloTeste","Produto de Teste Cielo",0,"Produto para finalizaçao de homologacao de Teste Visa","","",False,13,0,True,0,0,5,0,0,0,,,False,False,"images.jpg","images.jpg","images.jpg","","","","","","","",0,,1328,"",,0,0,,"","",1,1,,True,False
"A","Acessórios",1923146,"tem00001","Termômetro Clínico Digital de Ouvido G-Tech",350,"- Medição instantânea através de sensor de infravermelho.
- Design anatômico leve e compacto.
- Tecnologia que dispensa o uso de capas de provas, basta higienizar com álcool isopropílico.","- Medição instantânea através de sensor de infravermelho.
- Design anatômico leve e compacto.
- Tecnologia que dispensa o uso de capas de provas, basta higienizar com álcool isopropílico.
- Termômetro multiuso: indicado tanto para uso clínico quanto para medição da temperatura de ambientes e da superfície de líquidos.
- Possui alarme sonoro para febre e visor ""backlight"" para visualização noturna.

Prático estojo para transporte, suporte para mesa, 1 bateria do tipo cr2032 de 3v, sachês com álcool isopropílico. Dimensões aproximadas: 21x15x6,5cm (AxLxP) Peso aproximado: 100g Garantia do Fornecedor: 12 meses

","",False,0,1,True,0,0,119,0,0,0,16/06/2009,16/06/2010,False,True,"terouv100.gif","terouv200.gif","terouv400.gif","","","27916","","","","",0,,1005,"termometro,estetoscópio",,0,0,,"","termometro digital,termometro de ouvido,termometro oricular,termometro digital instantaneo,termometro digital rapido,termometro ouricular,termometro para febre rapido,termometro geratherm",3,3,,True,False
"A","Acessórios",1891846,"tem00000","Termômetro Digital G-Tech - Azul",44,"- Visor digital de fácil visualização 
- 100% resistente à água 
- Design moderno. 
- Beep sonoro indicando fim de medição.
- Verificado e aprovado pelo INMETRO.","- Visor digital de fácil visualização 
- 100% resistente à água 
- Design moderno. 
- Beep sonoro indicando fim de medição 
- Verificado e aprovado pelo INMETRO 
- Bateria de longa duração. (substituível) 

Dados Técnicos
Modelo:TH169.
Comprimento: 12,5cm.
Peso: 44g - (aproximado c/ embalagem).
Cor: azul
Garantia: 01 ano.
","",False,0,1,True,0,0,22,0,0,0,,,False,False,"tergtth169100.gif","tergtth169200.gif","tergtth169400.gif","","","27916","","","","",0,,1005,"tem00001,app00000,esf10013,pht00000",,0,0,,"","termometro digital,termometro eletronico,termometro para medicao de febre,termometro gtech,termometro digital para criancas,termometro rapido de medicao,termometro para enfermeiros",3,3,,True,False
"A","Aparelhos de Avaliação",1598790,"kit00006","Adipometro Cescorf Innovare Clinico + Physical Test Acadêmico (Brinde)",600,"<b><FONT color=#ff0000>Super Promoção !!</b></font>
Na compra de um Adipometro Clinico Innovare, você ganha o software de avaliação física Physical Test Acadêmico (Brinde).","Physical Test considerado atualmente o mais prático e completo software na aplicação de testes em Avaliação Física Funcional. 

<b>Na compra do Adipômetro Clinico Cescorf Innovare, ganhe Physical Test Acadêmico.</b> 

Especificações do Adipômetro Cescorf Innovare:

o  modelo CESCORF é fabricado em  ABS; apresenta:

- maior resistência a impactos;
- melhor ergonomia manual;
- painel para leitura mais preciso;
- em relação ao original, apresenta pressão mais exata;
- escala é de 0 a 80mm com sensibilidade de 1mm

Garantia: 12 meses
 
Dimensões: 244mm  x  215mm
Peso líquido: 96gr     
Peso bruto: 255gr

<b>O kit ideal para a sua avaliação física.</b> 

<B>Promoção por tempo Limitado !</B>","",False,1,0,False,0,0,130,125,0,0,07/07/2008,31/07/2008,True,True,"promoptad90.jpg","promoptad200.jpg","promoptad400.jpg","","","18488","","","","",0,,992,"",,0,0,,"","",3,0,,True,False
"A","Aparelhos de Avaliação",1598830,"kit00008","Adipometro Cescorf Innovare Clinico + Physical Test Acadêmico (Brinde)",400,"<b><FONT color=#ff0000>Super Promoção !!</b></font>
Na compra do Adipometro Clinico Innovare, ganhe o software de avaliação física Physical Test Acadêmico.
<b>Estoque Limitado !</b>","O Physical Test considerado atualmente o mais prático e completo software na aplicação de testes em Avaliação Física Funcional. 

<b>Na compra do Adipômetro Clinico Cescorf Innovare, você ganha o software Physical Test Acadêmico para Avaliação Física.</b> 

Especificações do Adipômetro Cescorf Innovare:

o  modelo CESCORF é fabricado em  ABS; apresenta:

- maior resistência a impactos;
- melhor ergonomia manual;
- painel para leitura mais preciso;
- em relação ao original, apresenta pressão mais exata;
- escala é de 0 a 80mm com sensibilidade de 1mm

Garantia: 12 meses
 
Dimensões: 244mm  x  215mm
Peso líquido: 96gr     
Peso bruto: 255gr

<b>O kit ideal para a sua avaliação física.</b> 

<B>Promoção por tempo Limitado !</B>","",False,2,1,False,0,130,218,125,0,0,07/07/2008,31/07/2009,False,False,"promoptad90.jpg","promoptad200.jpg","promoptad400.jpg","","","18469,18488","","","","",255,,992,"Kta00001,adp50000,adc40003",,0,0,,"","Adipometro cescorf,software de avaliacao fisica,adipometro innovare cescorf,adipometro e software de avaliacao fisica",3,3,,True,False
"A","Aparelhos de Avaliação",1179830,"ads10002","Adipômetro Científico - Sanny",400,"Campo de Medição: de 0 à 78 mm.
Precisão: Décimos de milímetros 
Tolerância: +/- 0,5 mm em 78 mm. 
Matéria Prima: Policarbonato Lexan.","Campo de Medição: de 0 à 78 mm.
Precisão: Décimos de milímetros 
Tolerância: +/- 0,5 mm em 78 mm. 
Matéria Prima: Policarbonato Lexan.","http://www.terrazul.com.br/produtos.html",True,0,1,False,0,0,720,680,0,0,12/02/2008,31/12/2008,False,False,"AdipometroCient90.gif","ADipocien200.GIF","Adipocien400.GIF","","","18488","","","","",0,,7,"",,0,0,,"","",3,0,,True,False
"A","Aparelhos de Avaliação",1232237,"adp30000","Adipometro Científico Analógico - Physical Vision 2.2x",1000,"Campo de Medição: de 0 à 60mm.
Precisão: 0,5mm Melhor resolução.
Tolerância: 0,3mm em 60mm
Matéria Prima: ABS
","Adipômetro PHYSICAL VISION 2.2X- O primeiro de uma nova geração com tecnologia avançada que possibilita maior precisão, leitura mais fácil e um design moderno.


ESPECIFICAÇÕES TÉCNICAS:

* Exclusivo mostrador.
* Escala de leitura ampliada em 2.2x.
* Capacidade de leitura 60mm.
* Passante para cordão de segurança.
* Pinças especiais de maior precisão.

* Materiais: Abs e Policarbonato

* Garantia: 2 anos.

Fabricante: Primemed.","",False,0,0,False,0,0,0,0,0,0,,,True,True,"Analogico.gif","Adterranal200.gif","Adterranal400.gif","","","18488","","","","10422,10423,10424",1,,992,"",,0,0,,"","",0,0,,True,False
"A","Aparelhos de Avaliação",1329678,"adp20000","Adipometro Científico Digital - Prime Vision DG",600,"Visor de Cristal Liquido - Facil Leitura.
Designer ergonômico e arrojado.
Primeiro adipômetro digital do Brasil.
01 Função.

<b>Relançamento:  Entrega Imediata</b>
","<B>ADIPÔMETRO PRIME VISION DG</B>

<b>O primeiro adipômetro digital do Brasil</b>,  representa uma nova geração tecnologica que possibilita maior precisão, leitura facilitada e um design ultra moderno.

O modelo DG oferece funcionamento digital padrão, que chamamos de função infinita, nesta função o visor  digital trabalha livremente, sem nenhuma programação adicional.


ESPECIFICAÇÕES TÉCNICAS:

* Visor de cristal líquido.
* Capacidade: de 0,2 a 60mm
* Tolerância: 0,2mm em 60mm
* Resolução: 0,1mm
* Bateria de longa duração.
* On/Off automático.
* Materiais: Abs/Policarbonato.
* Passante para cordão de segurança.
* Garantia de fábrica: 1 ano.

Fabricante: Primemed.","",False,9,1,True,0,436.15,793,295,0,0,16/11/2009,07/12/2011,False,False,"adipdgi100b.GIF","adipdgi200b.GIF","adipdgi400b.GIF","","","30673,38590","","","","",0,,992,"",,0,0,13437,"","adipometro digital,compasso de dobras,adipometro,compasso digital,adipometro de gordura,plicometro digital,plicometro cientifico,adipometro cientifico,compasso de dobras cientifico",5,0,,True,False
"A","Aparelhos de Avaliação",2254247,"adp40000","Adipometro Científico Digital - Prime Vision DG+",600,"Visor de Cristal Líquido - Fácil Leitura.
Designer ergonômico e arrojado.
Primeiro Adipômetro Digital e Inteligente do Mundo com 05 funções programáveis.

<b>Relançamento: Entrega Imediata</b>
","<b>ADIPÔMETRO PRIME VISION DG+ – DIGITAL </b>

<b>O primeiro adipômetro científico digital inteligente do Mundo</b> representa uma nova geração tecnologica inteligente que permite a programação do aparelho.

PROGRAMAÇÃO DE FUNÇÕES:

- Função digital padrão.
- Congela o valor da dobra cutânea no visor, ajustando-se à necessidade do avaliador (4 à 7 segundos).
<b>- 05 Funções Programavéis, considerando-se as varíaveis de tempo de 4 à 7 segundos.</b>

ESPECIFICAÇÕES TÉCNICAS:

* Mostrador de cristal líquido.
* Capacidade: de 0 a 60mm.
* Tolerância: 0,2mm em 60mm.
* Resolução: 0,1mm - décimos de milímetro.
* Bateria de longa duração - 2 à 5 anos conforme a utilização.
* On/Off - automático.
* Passante para cordão de segurança.
* Materiais: Abs/Policarbonato

* Garantia: 1 ano
Fabricante: Primemed
","",False,8,1,True,0,471.35,857,685,0,0,18/05/2010,04/01/2012,False,False,"adipdgi100b.GIF","adipdgi200b.GIF","adipdgi400b.GIF","","","30673,38590","","","","",255,,992,"",,0,0,32939,"","adipometro digital,compasso de dobras,adipometro,compasso digital,adipometro de gordura,plicometro digital,plicometro cientifico,adipometro cientifico,compasso de dobras cientifico",6,6,,True,False
"A","Aparelhos de Avaliação",1232285,"adp10000","Adipometro Científico Digital Inteligente - Prime Vision DGi",600,"Visor de Cristal Líquido - Fácil Leitura.
Designer ergonômico e arrojado.
Primeiro Adipômetro Digital e Inteligente do Mundo com 16 funções programáveis.

<b>Relançamento: Entrega Imediata</b>
","<b>ADIPÔMETRO PRIME VISION DGi – DIGITAL INTELIGENTE</b>

<b>O primeiro adipômetro digital inteligente do Mundo</b> representa uma nova geração tecnologica inteligente que permite a programação do aparelho.

PROGRAMAÇÃO DE FUNÇÕES:

- Função digital padrão.
- Calculo da média de três dobras cutâneas.
- Calculo da médiana de três dobras cutâneas.
- Congela o valor da dobra cutânea no visor, ajustando-se à necessidade do avaliador (4 à 7 segundos).
- Inedita: Localização automática da dobra, baseado na estabilização do movimento das hastes, sobre o valor da dobra.
<b>- 16 Funções Programavéis, considerando-se as varíaveis.</b>

ESPECIFICAÇÕES TÉCNICAS:

* Mostrador de cristal líquido.
* Capacidade: de 0 a 60mm.
* Tolerância: 0,2mm em 60mm.
* Resolução: 0,1mm - décimos de milímetro.
* Bateria de longa duração - 2 à 5 anos conforme a utilização.
* On/Off - automático.
* Passante para cordão de segurança.
* Materiais: Abs/Policarbonato

* Garantia: 1 ano
Fabricante: Primemed
","",False,7,0,True,0,548.35,997,945,0,0,29/11/2010,02/02/2012,False,False,"adipdgi100b.GIF","adipdgi200b.GIF","adipdgi400b.GIF","","","30673,38590","","","","",255,,992,"",,0,0,14873,"","adipometro digital,compasso de dobras,adipometro,compasso digital,adipometro de gordura,plicometro digital,plicometro cientifico,adipometro cientifico,compasso de dobras cientifico",6,0,,True,False
"A","Aparelhos de Avaliação",3265726,"adc10004","Adipômetro Científico Precision Terrazul",500,"- sensibilidade: 0,1mm
- amplitude leitura: 90mm
- pressão: 10g/mm2
- dimensões: 286mm x 165mm
- peso: 290gr peso bruto: 700 gr
- montagem em base de aço carbono cromado
- cabo e protetor
","- sensibilidade: 0,1mm
- amplitude leitura: 90mm
- pressão: 10g/mm2
- dimensões: 286mm x 165mm
- peso: 290gr peso bruto: 700 gr
- montagem em base de aço carbono cromado
- cabo e protetor
- ponteiras (fixas) em aço carbono cromado
- molas em aço nivelado
- relógio de alta precisão 
- garantia: 2 anos","",False,0,0,False,0,0,850,0,0,0,,,False,False,"","","","","","27916","","","","",0,,7,"",,0,0,,"","",0,0,,True,False
"A","Aparelhos de Avaliação",1179842,"ads20002","Adipômetro Clínico - Sanny",1000,"Capacidade: de 0 a 55mm.
Tolerância: ± 0,5mm em 55mm.
Resolução: em mílimetros.
Matéria Prima: ABS.","Capacidade: de 0 a 55mm.
Tolerância: ± 0,5mm em 55mm.
Resolução: em mílimetros.
Matéria Prima: ABS.","http://www.terrazul.com.br/produtos.html",True,0,1,False,0,0,420,351,0,0,12/02/2008,31/12/2008,False,False,"AdipometroClinico90.gif","Adipoclin200.GIF","Adipoclin400.GIF","","","18488","","","","",0,,7,"",,0,0,,"","",3,0,,True,False
"A","Aparelhos de Avaliação",1908514,"adn40002","Adipômetro Clínico Prime NeO - Azul + Brindes: (Physical Test 2.97 + Disco IMC)",260,"Com nova tecnologia o adipômetro Prime NeO é o único fabricado 100% em alumínio e sua fabricação utiliza técnica de espelhamento de peças, que lhe confere maior precisão.","O acabamento do adipômetro Prime Neo e feito com cromo (Azul) que deixa a peça com apresentação excelente e oferece alto grau de higienização do aparelho, agilidade, conforto e preço justo também são destaques para este produto.

100% Reciclável é um produto que não agride a natureza!

Leitura direta mais simples e ágil. 

Leitor frente e verso mais conforto e flexibilidade, para destros e canhotos. 

Construído com peças gêmeas o que garante maior precisão. 

Fabricado em alumínio ultra-leve e resistente. 

Tratamento de Superfície com cromogeniação para uma higiene perfeita. 

Características do Adipômetro Prime Neo:

Campo de Medição: de 0 à 60 mm.
Precisão: Milímetros.
Tolerância: +/- 0,5 mm em 60 mm.
Matéria Prima: Alumínio.
Acabamento: Cromo Azul.
Escala de Medição: Dupla, em ambos dos lados.

<b>Embalagem:</b> Caixa simples descartável.

Garantia: 01 ano.
Fabricante: Primemed.","",False,77,5,True,0,0,278,246,0,0,20/12/2010,02/02/2012,True,True,"adpneoazul100.GIF","adpneoazul200.GIF","adpneoazul400.GIF","","","18488","","","","",255,,992,"adp40000,adp40001,adp50000,adp50001,adp50002",,0,0,21666,"","adipometro,adipometro clinico,plicometro,plicometro de aluminio,compasso de dobras,plicometro clinico,dobras cutanes,adipometro e plicometro",5,5,,True,False
"A","Aparelhos de Avaliação",1817147,"adn40000","Adipômetro Clínico Prime NeO - Cinza + Brindes: (Physical Test 2.97 + Disco IMC)",260,"Com nova tecnologia o adipômetro Prime NeO é o único fabricado 100% em alumínio e sua fabricação utiliza técnica de espelhamento de peças, que lhe confere maior precisão.","O acabamento do adipômetro Prime Neo e feito na cor cinza que deixa a peça com apresentação excelente e oferece alto grau de higienização do aparelho, agilidade, conforto e preço justo também são destaques para este produto.

100% Reciclável é um produto que não agride a natureza!

Leitura direta mais simples e ágil. 

Leitor frente e verso mais conforto e flexibilidade, para destros e canhotos. 

Construído com peças gêmeas o que garante maior precisão. 

Fabricado em alumínio ultra-leve e resistente. 

Tratamento de Superfície com cromogeniação para uma higiene perfeita. 

Características do Adipômetro Prime Neo:

Campo de Medição: de 0 à 60 mm.
Precisão: Milímetros.
Tolerância: +/- 0,5 mm em 60 mm.
Matéria Prima: Alumínio.
Acabamento: Cromado.
Escala de Medição: Dupla, em ambos dos lados.

<b>Embalagem:</b> Caixa simples descartável.

Garantia: 01 ano.
Fabricante: Primemed.","",False,9878,10,True,0,0,278,236,0,0,20/12/2010,31/01/2012,True,True,"adpneocinza100.GIF","adpneocinza200.GIF","adpneocinza400.GIF","","","18488","","","","",255,,992,"adp40001,adp40002,adp50000,adp50001,adp50002",,0,0,,"","adipometro,adipometro clinico,plicometro,plicometro de aluminio,compasso de dobras,plicometro clinico,dobras cutanes,adipometro e plicometro",5,5,,True,False
"A","Aparelhos de Avaliação",1985686,"adn40004","Adipômetro Clínico Prime NeO - Laranja",255,"Com nova tecnologia o adipômetro Prime NeO é o único fabricado 100% em alumínio e sua fabricação utiliza técnica de espelhamento de peças, que lhe confere maior precisão.","O acabamento do adipômetro Prime Neo e feito com cromo (Laranja) que deixa a peça com apresentação excelente e oferece alto grau de higienização do aparelho, agilidade, conforto e preço justo também são destaques para este produto.

100% Reciclável é um produto que não agride a natureza!

Leitura direta mais simples e ágil. 

Leitor frente e verso mais conforto e flexibilidade, para destros e canhotos. 

Construído com peças gêmeas o que garante maior precisão. 

Fabricado em alumínio ultra-leve e resistente. 

Tratamento de Superfície com cromogeniação para uma higiene perfeita. 

Características do Adipômetro Prime Neo:

Campo de Medição: de 0 à 60 mm.
Precisão: Milímetros.
Tolerância: +/- 0,5 mm em 60 mm.
Matéria Prima: Alumínio.
Acabamento: Cromo Laranja.
Escala de Medição: Dupla, em ambos dos lados.

<b>Embalagem:</b> Caixa simples descartável.

Garantia: 01 ano.
Fabricante: Primemed.","",False,0,5,False,0,0,278,0,0,0,20/08/2009,27/10/2009,True,True,"adalvlarn100.gif","adalvlarn200.gif","adalvlarn400.gif","","","18488","","","","",255,,992,"adp40000,adp40001,adp50000,adp50001,adp50002",,0,0,,"","adipometro,adipometro clinico,plicometro,plicometro de aluminio,compasso de dobras,plicometro clinico,dobras cutanes,adipometro e plicometro",5,5,,True,False
"A","Aparelhos de Avaliação",1985682,"adn40003","Adipômetro Clínico Prime NeO - Verde + Brindes: (Physical Test 2.97 + Disco IMC)",260,"Com nova tecnologia o adipômetro Prime NeO é o único fabricado 100% em alumínio e sua fabricação utiliza técnica de espelhamento de peças, que lhe confere maior precisão.","O acabamento do adipômetro Prime Neo e feito com cromo (Verde) que deixa a peça com apresentação excelente e oferece alto grau de higienização do aparelho, agilidade, conforto e preço justo também são destaques para este produto.

100% Reciclável é um produto que não agride a natureza!

Leitura direta mais simples e ágil. 

Leitor frente e verso mais conforto e flexibilidade, para destros e canhotos. 

Construído com peças gêmeas o que garante maior precisão. 

Fabricado em alumínio ultra-leve e resistente. 

Tratamento de Superfície com cromogeniação para uma higiene perfeita. 

Características do Adipômetro Prime Neo:

Campo de Medição: de 0 à 60 mm.
Precisão: Milímetros.
Tolerância: +/- 0,5 mm em 60 mm.
Matéria Prima: Alumínio.
Acabamento: Cromo Verde.
Escala de Medição: Dupla, em ambos dos lados.

<b>Embalagem:</b> Caixa simples descartável.

Garantia: 01 ano.
Fabricante: Primemed.","",False,9,0,False,0,0,278,222,0,0,20/08/2009,10/01/2012,True,True,"neoverde100.GIF","neoverde200.GIF","neoverde400.GIF","","","18488","","","","",255,,992,"adp40000,adp40001,adp50000,adp50001,adp50002",,0,0,,"","adipometro,adipometro clinico,plicometro,plicometro de aluminio,compasso de dobras,plicometro clinico,dobras cutanes,adipometro e plicometro",5,5,,True,False
